CustomerCode;ShortAddress
JD-0294;JBKA3124
JD-0299;JDBC5361
JD-0301;JHWG6561
JD-0305;MDAA6394
QA-0312;QBJH7230
QA-0313;QCAC4325
QA-0314;OBUC4635
QA-0320;OCAA4043
RY-0313;REFA2211
RY-0367;RMAA3800
RY-0368;RHFA8246
RY-0369;RKHA4189
